family,gene,mouse gene,source,skin compartment,compartment confidence,full name,role,key reference,validated in,psoriasis relevance,family review
Cadherin / junction,CDH1,Cdh1,Curated panel,Epidermis,High,E-cadherin,epithelial adherens-junction cadherin,"Le Duc, J Cell Biol, 2010 [PMC2894457]; Borghi, PNAS, 2010 [PMC2922157]",Villeneuve 2026; McCreery 2025; Young 2023,,Leckband & de Rooij 2014 [Annu Rev Cell Dev Biol]; Charras & Yap 2018 [Curr Biol]
Cadherin / junction,CDH2,Cdh2,Curated panel,Dermis,Medium,N-cadherin,mesenchymal/neural cadherin,"Borghi, PNAS, 2012 [PMC3411997]",McCreery 2025,,Leckband & de Rooij 2014 [Annu Rev Cell Dev Biol]; Charras & Yap 2018 [Curr Biol]
Cadherin / junction,CDH3,Cdh3,Curated panel,Epidermis,High,P-cadherin,skin/breast epithelial cadherin,"Ribeiro, 2014",Bansaccal 2023; Villeneuve 2026,,Leckband & de Rooij 2014 [Annu Rev Cell Dev Biol]; Charras & Yap 2018 [Curr Biol]
Cadherin / junction,CDH6,Cdh6,Young 2023 (single-cell genomechanics),Both,Low,Cadherin-6 (K-cadherin),type-II cadherin; EMT-associated adhesion switch (genomechanics panel),"Young, iScience, 2023 [PMC10074148]",,,
Cadherin / junction,CDH11,Cdh11,Curated panel,Dermis,Medium,OB-cadherin,fibroblast/myofibroblast cadherin,"Schulte, 2011",Aguilera-Stewart 2025; McCreery 2025,,Leckband & de Rooij 2014 [Annu Rev Cell Dev Biol]; Charras & Yap 2018 [Curr Biol]
Cadherin / junction,CDH13,Cdh13,Aragona 2020 (scRNA DEGs),Both,Medium,T-cadherin (CDH13),atypical GPI-anchored cadherin; mechanosensing / YAP regulator,"Aragona, Nature, 2020 [PMC7116042]",,Stretch-induced atypical cadherin,
Cadherin / junction,CLDN1,Cldn1,Curated panel,Epidermis,High,Claudin-1,tight-junction barrier,"Furuse, Cold Spring Harb Perspect Biol, 2010 [PMC2827901]",,,Leckband & de Rooij 2014 [Annu Rev Cell Dev Biol]; Charras & Yap 2018 [Curr Biol]
Cadherin / junction,CLDN4,Cldn4,Curated panel,Epidermis,High,Claudin-4,tight-junction sealing in epithelia,"Furuse, CSH Perspect Biol, 2010 [PMC2827901]",,,Leckband & de Rooij 2014 [Annu Rev Cell Dev Biol]; Charras & Yap 2018 [Curr Biol]
Cadherin / junction,CLDN7,Cldn7,Curated panel,Epidermis,High,Claudin-7,epithelial tight junction,"Furuse, CSH Perspect Biol, 2010 [PMC2827901]",,,Leckband & de Rooij 2014 [Annu Rev Cell Dev Biol]; Charras & Yap 2018 [Curr Biol]
Cadherin / junction,CTNNA1,Ctnna1,Curated panel,Both,High,α-catenin,junctional force transducer; force-induced unfolding exposes vinculin binding site,"Yonemura, Nat Cell Biol, 2010 [PMID 20453849]; Yao, Sci Rep, 2014 [PMC3980218]",Xue 2025,,Leckband & de Rooij 2014 [Annu Rev Cell Dev Biol]; Charras & Yap 2018 [Curr Biol]
